PrId,DB,UID,url,IconUrl,UrlName,SubjectType,Attribute
00000,PubMed,22140653,https://mtor-atlas.org/study/ROD2011/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42570420,https://mtor-atlas.org/study/NAT2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,29056426,https://mtor-atlas.org/study/VAL2017/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42551770,https://mtor-atlas.org/study/KRISTIANSEN2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,27304501,https://mtor-atlas.org/study/KEN2016/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,22750207,https://mtor-atlas.org/study/HAL2012/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,22500797,https://mtor-atlas.org/study/LAP2012/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,37264081,https://mtor-atlas.org/study/MEN2023/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,19046571,https://mtor-atlas.org/study/POL2008/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,18604198,https://mtor-atlas.org/study/KIM2008/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,17141160,https://mtor-atlas.org/study/GUE2006/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42605193,https://mtor-atlas.org/study/HE2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,20227039,https://mtor-atlas.org/study/HSI2010/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,42432754,https://mtor-atlas.org/study/GIL2026/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,12820960,https://mtor-atlas.org/study/GAR2003/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,23525088,https://mtor-atlas.org/study/SIN2013/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,21047224,https://mtor-atlas.org/study/KRU2010/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,27487210,https://mtor-atlas.org/study/SAX2016/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,12766776,https://mtor-atlas.org/study/SAU2003/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,26992237,https://mtor-atlas.org/study/ROM2016/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,31761958,https://mtor-atlas.org/study/CHU2019/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,41056387,https://mtor-atlas.org/study/SCH2025/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,15467718,https://mtor-atlas.org/study/JAC2004/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,27279227,https://mtor-atlas.org/study/ROD2016/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,24095279,https://mtor-atlas.org/study/TSU2013/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,29872228,https://mtor-atlas.org/study/LEI2018/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,22149876,https://mtor-atlas.org/study/BAS2012/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,31704029,https://mtor-atlas.org/study/SHE2019/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,16293764,https://mtor-atlas.org/study/KAE2005/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,26586190,https://mtor-atlas.org/study/SAX2015/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
00000,PubMed,20203043,https://mtor-atlas.org/study/LEE2010/,https://mtor-atlas.org/outreach/linkout/icon-16x16.png,Evidence-graded record in Oliver's mTOR Atlas,protein interactions/pathways,
